name,level,cmode,cstddev
(Intercept),S308,-0.08183028370113493,0.14035486029173178
(Intercept),S309,0.8700374049094268,0.14035486029173178
(Intercept),S310,0.8456555961531811,0.14035486029173178
(Intercept),S330,-0.4082444803157466,0.14035486029173178
(Intercept),S331,-0.39583188375400585,0.14035486029173178
(Intercept),S332,-0.1058564942584739,0.14035486029173178
(Intercept),S333,-0.3152305534854125,0.14035486029173178
(Intercept),S334,0.05440119420906143,0.14035486029173178
(Intercept),S335,-0.02351643163115476,0.14035486029173178
(Intercept),S337,-0.5851689288732502,0.14035486029173178
(Intercept),S349,0.40899360640330107,0.14035486029173178
(Intercept),S350,0.15424392235474038,0.14035486029173178
(Intercept),S351,-0.1162266037126616,0.14035486029173178
(Intercept),S352,-0.28010471895236677,0.14035486029173178
(Intercept),S369,-0.10903355623331572,0.14035486029173178
(Intercept),S370,0.4264685904926268,0.14035486029173178
(Intercept),S371,-0.08869276426839465,0.14035486029173178
(Intercept),S372,-0.2500636153364968,0.14035486029173178
day,S308,-0.06793257322453132,0.025805348712746305
day,S309,0.06203280107949194,0.025805348712746305
day,S310,0.0038535185049306635,0.025805348712746305
day,S330,0.05995117430296172,0.025805348712746305
day,S331,0.043622725921869686,0.025805348712746305
day,S332,0.0029865584142871717,0.025805348712746305
day,S333,0.011229578261839502,0.025805348712746305
day,S334,-0.01726187343155704,0.025805348712746305
day,S335,0.12458528105733369,0.025805348712746305
day,S337,-0.029005637147660083,0.025805348712746305
day,S349,-0.042415031972481865,0.025805348712746305
day,S350,-0.07018187267311576,0.025805348712746305
day,S351,0.028896963185747197,0.025805348712746305
day,S352,-0.030761862855874553,0.025805348712746305
day,S369,-0.009036827194881601,0.025805348712746305
day,S370,-0.07814588453178392,0.025805348712746305
day,S371,0.012693047169267224,0.025805348712746305
day,S372,-0.0051100848657684664,0.025805348712746305
